,date,hospitalized
1,2/18/20,0
2,2/19/20,0
3,2/20/20,0
4,2/21/20,0
5,2/22/20,0
6,2/23/20,0
7,2/24/20,0
8,2/25/20,0
9,2/26/20,0
10,2/27/20,0
11,2/28/20,0
12,2/29/20,0
13,3/1/20,0
14,3/2/20,0
15,3/3/20,0
16,3/4/20,0
17,3/5/20,0
18,3/6/20,0
19,3/7/20,0
20,3/8/20,0
21,3/9/20,0
22,3/10/20,0
23,3/11/20,1
24,3/12/20,1
25,3/13/20,2
26,3/14/20,2
27,3/15/20,2
28,3/16/20,3
29,3/17/20,4
30,3/18/20,5
31,3/19/20,7
32,3/20/20,9
33,3/21/20,11
34,3/22/20,14
35,3/23/20,18
36,3/24/20,23
37,3/25/20,26
38,3/26/20,30
39,3/27/20,32
40,3/28/20,35
41,3/29/20,42
42,3/30/20,48
43,3/31/20,57
44,4/1/20,62
45,4/2/20,64
46,4/3/20,59
47,4/4/20,65
48,4/5/20,64
49,4/6/20,66
50,4/7/20,67
51,4/8/20,72
52,4/9/20,73
53,4/10/20,70
54,4/11/20,68
55,4/12/20,75
56,4/13/20,75
57,4/14/20,77
58,4/15/20,77
59,4/16/20,79
60,4/17/20,76
61,4/18/20,79
62,4/19/20,80
63,4/20/20,82
64,4/21/20,86
65,4/22/20,83
66,4/23/20,80
67,4/24/20,74
68,4/25/20,76
69,4/26/20,81
70,4/27/20,87
71,4/28/20,90
72,4/29/20,94
73,4/30/20,90
74,5/1/20,86
75,5/2/20,89
76,5/3/20,91
77,5/4/20,96
78,5/5/20,103
79,5/6/20,103
80,5/7/20,98
81,5/8/20,91
82,5/9/20,92
83,5/10/20,93
84,5/11/20,94
85,5/12/20,96
86,5/13/20,96
87,5/14/20,103
88,5/15/20,102
89,5/16/20,104
90,5/17/20,103
91,5/18/20,100
92,5/19/20,102
93,5/20/20,97
94,5/21/20,94
95,5/22/20,88
96,5/23/20,85
97,5/24/20,93
98,5/25/20,96
99,5/26/20,100
100,5/27/20,89
101,5/28/20,85
102,5/29/20,86
103,5/30/20,83
104,5/31/20,95
105,6/1/20,94
106,6/2/20,99
107,6/3/20,92
108,6/4/20,91
109,6/5/20,83
110,6/6/20,89
111,6/7/20,92
112,6/8/20,98
113,6/9/20,111
114,6/10/20,118
115,6/11/20,131
116,6/12/20,125
117,6/13/20,138
118,6/14/20,144
119,6/15/20,146
120,6/16/20,154
121,6/17/20,169
122,6/18/20,181
123,6/19/20,185
124,6/20/20,201
125,6/21/20,218
126,6/22/20,236
127,6/23/20,274
128,6/24/20,293
129,6/25/20,299
130,6/26/20,316
131,6/27/20,351
132,6/28/20,368
133,6/29/20,369
134,6/30/20,376
135,7/1/20,415
136,7/2/20,418
137,7/3/20,434
138,7/4/20,446
139,7/5/20,466
140,7/6/20,469
141,7/7/20,458
142,7/8/20,440
143,7/9/20,438
144,7/10/20,435
145,7/11/20,434
146,7/12/20,459
147,7/13/20,469
148,7/14/20,492
149,7/15/20,479
150,7/16/20,469
151,7/17/20,466
152,7/18/20,480
153,7/19/20,480
154,7/20/20,459
155,7/21/20,453
156,7/22/20,438
157,7/23/20,423
158,7/24/20,409
159,7/25/20,396
160,7/26/20,390
161,7/27/20,370
162,7/28/20,371
163,7/29/20,355
164,7/30/20,338
165,7/31/20,321
166,8/1/20,307
167,8/2/20,310
168,8/3/20,309
169,8/4/20,308
170,8/5/20,297
171,8/6/20,279
172,8/7/20,275
173,8/8/20,278
174,8/9/20,271
175,8/10/20,279
